zone,timestamp,co2,pm25,temperature,humidity
Zone A,2023-09-01 09:15:00,503.0,10.0,26.31,60.99
Zone A,2023-09-01 09:20:00,504.0,10.5,26.3,61.63
Zone A,2023-09-01 09:25:00,515.0,11.0,26.36,61.56
Zone A,2023-09-01 09:30:00,515.0,10.0,26.17,61.71
Zone A,2023-09-01 09:35:00,515.0,9.0,26.11,61.93
Zone A,2023-09-01 09:40:00,505.0,10.0,26.11,61.98
Zone B,2023-09-01 09:30:00,543.0,6.0,27.79,55.33
Zone B,2023-09-01 09:35:00,572.0,7.5,27.82,55.19
Zone B,2023-09-01 09:40:00,569.0,9.0,27.85,57.31
Zone B,2023-09-01 09:45:00,543.0,9.5,27.56,53.01
Zone B,2023-09-01 09:50:00,557.0,10.0,27.04,48.07
Zone B,2023-09-01 09:55:00,551.0,10.5,26.55,46.92
Zone C,2023-09-01 09:30:00,506.0,9.0,26.17,51.24
Zone C,2023-09-01 09:35:00,536.0,8.5,26.35,52.05
Zone C,2023-09-01 09:40:00,528.0,8.0,26.57,52.84
Zone C,2023-09-01 09:45:00,506.0,9.5,26.7,53.32
Zone C,2023-09-01 09:50:00,518.0,11.0,26.63,53.71
Zone C,2023-09-01 09:55:00,492.0,9.0,26.65,54.13
